ProductCode	ProductName	Price	Quantity
412150602	BOLD COMP BACKPACK BLUE	47	50
412150605	BOLD COMP BACKPACK GRAY	47	50
412150606	BOLD COMP BACKPACK OLIVE	47	50
412152202	BOLD 22IN EXP RLBRD BLUE	70.5	50
412152205	BOLD 22IN EXP RLBRD GRAY	70.5	50
412152206	BOLD 22IN EXP RLBRD OLIVE	70.5	50
412152502	BOLD 25IN EXP RLBRD BLUE	79.9	50
412152505	BOLD 25IN EXP RLBRD GRAY	79.9	50
412152506	BOLD 25IN EXP RLBRD OLIVE	79.9	50
412152802	BOLD 28IN EXP RLBRD BLUE	89.3	50
412152805	BOLD 28IN EXP RLBRD GRAY	89.3	50
412152806	BOLD 28IN EXP RLBRD OLIVE	89.3	50
412153002	BOLD 30IN DRP BTM DUF BLUE	94	50
412153005	BOLD 30IN DRP BTM DUF GRAY	94	50
412153006	BOLD 30IN DRP BTM DUF OLV	94	50
412156102	BOLD 21IN EXP SPNR BLUE	79.9	50
412156105	BOLD 21IN EXP SPNR GRAY	79.9	50
412156602	BOLD 26IN EXP SPNR BLUE	94	50
412156605	BOLD 26IN EXP SPNR GRAY	94	50
407160301	CREW 11 DELUXE TOTE BLACK	47	50
407160301L	CREW 11 DELUXE TOTE BLACK	26.88	0
407160365	CREW 11 DELUXE TOTE INDIGO	47	0
407160365L	CREW 11 DELUXE TOTE INDIGO	26.88	0
407160401	CREW11 BIFOLD GARMENT BAG BLK	84.6	50
407160401L	CREW11 BIFOLD GARMENT BAG BLK	46.91	0
407160465L	CREW11 BIFOLD GARMENT BAG INDI	46.91	0
407161301	CREW11 ROLLING TOTE BLACK	84.6	50
407161301L	CREW11 ROLLING TOTE BLACK	51.37	0
407161302	CREW11 ROLLING TOTE PATRIOT BL	84.6	50
407161322	CREW11 ROLLING TOTE NAVY	84.6	50
407161365	CREW11 ROLLING TOTE INDIGO	84.6	50
407161365L	CREW11 ROLLING TOTE INDIGO	51.37	0
407162001	CREW11 20IN BUS PLUS RB BLACK	103.4	50
407162001L	CREW11 20IN BUS PLUS RB BLACK	70.51	0
407162201	CREW11 22IN EXP RLBRD SUITR BK	103.4	50
407162201L	CREW11 22IN EXP RLBRD SUITR BK	64.88	0
407162202	CREW11 22IN EXP RB SUITR P BLU	103.4	50
407162204	CREW11 22IN EXP RB SUITR M BRW	103.4	50
407162222	CREW11 22IN EXP RLBRD SUITR NA	103.4	50
407162265	CREW11 22IN EXP RLBRD SUITR IN	103.4	50
407162265L	CREW11 22INEXP RLBRD SUITR IND	64.88	0
407162601	CREW11 26IN EXP RLBRD SUITR BK	126.9	50
407162601L	CREW11 26IN EXP RLBRD SUITR BK	75.54	0
407162665	CREW11 26IN EXP RLBRD SUITR IN	126.9	50
407162665L	CREW11 26INEXP RLBRD SUITR IND	75.54	0
407164001	CREW11 ROL GRM BAG CARRY ON BK	141	50
407164001L	CREW11 ROL GRM BAG CARRY ON BK	79.77	0
407164065	CREW11 ROL GRM BAG CARRY ON IN	141	50
407164065L	CREW11 ROL GRMBAG CARRY ON IND	79.77	0
407164301	CREW11 INTL C.O RLBD BLACK	94	50
407164301L	CREW11 INTL C.O RLBD BLACK	60.97	0
407164365L	CREW11 INTL C.O RLBD INDIGO	60.97	0
407165101	CREW11 50IN GARMENT BAG BLK	164.5	50
407165101L	CREW11 50IN GARMENT BAG BLK	99.82	0
407165301	CREW11 SPINNER TOTE BLACK	94	50
407165301L	CREW11 SPINNER TOTE BLACK	63.43	0
407165365	CREW11 SPINNER TOTE INDIGO	94	50
407165365L	CREW11 SPINNER TOTE INDIGO	63.43	0
407166001	CREW11 INTL CARRYON SPR BLK	108.1	50
407166001L	CREW11 INTL CARRYON SPR BLK	75	0
407166065	CREW11 INTL CARRYON SPR INDIGO	108.1	0
407166065L	CREW11 INTL CARRYON SPR INDIGO	75	0
407166101	CREW11 21IN EXP SPINNER BLK	108.1	50
407166101L	CREW11 21IN EXP SPINNER BLK	78.43	0
407166102	CREW11 21IN EXP SPN PATRIOT BL	108.1	50
407166104	CREW11 21IN EXP SPNR M BROWN	108.1	50
407166122	CREW11 21IN EXP SPINNER NAVY	108.1	50
407166165	CREW11 21IN EXP SPINNER INDIGO	108.1	50
407166165L	CREW11 21IN EXP SPINNER INDIGO	78.43	0
407166501	CREW11 25IN EXP SPINNER BLK	126.9	50
407166501L	CREW11 25IN EXP SPINNER BLK	85.32	0
407166502	CREW11 25IN EXP SPN PATRIOT BL	126.9	50
407166504	CREW11 25IN EXP SPNR M BROWN	126.9	50
407166522	CREW11 25IN EXP SPINNER NAVY	126.9	50
407166565	CREW11 25IN EXP SPINNER INDIGO	126.9	50
407166565L	CREW11 25IN EXP SPINNER INDIGO	85.32	0
407166701	CREW11 INTL CARRYON SPR BLK	108.1	50
407166701L	CREW11 INTL CARRYON SPR BLK	75	0
407166765L	CREW11 INTL CARRYON SPR INDIGO	75	0
407166901	CREW11 29IN EXP SPINNER BLK	141	50
407166901L	CREW11 29IN EXP SPINNER BLK	96.57	0
407166902	CREW11 29IN EXP SPNR PATRIOT B	141	50
407166922	CREW11 29IN EXP SPINNER NAVY	141	50
407166965	CREW11 29IN EXP SPINNER INDIGO	141	50
407166965L	CREW11 29IN EXP SPINNER INDIGO	96.57	0
407167001	CREW11 SLIM BODY RLBD BLK	94	0
407167001L	CREW11 SLIM BODY RLBD BLK	61.45	0
407167065	CREW11 SLIM BODY RLBD INDIGO	94	0
407167065L	CREW11 SLIM BODY RLBD INDIGO	61.45	0
407168901	C11 CARRYON SMT DUFFLE BLK	94	50
407168902	C11 CARRYON SMT DFLE PAT BLUE	94	50
407168904	C11 CARRYON SMT DFLE MBRWN	94	50
407169101	C11 21IN HS SPIN OBSIDIAN BLK	108.1	50
407169105	C11 21IN HS SPIN CARBON GREY	108.1	0
407169122	C11 21IN HARDSIDE SPIN NAVY	108.1	50
407169142	C11 21IN HARDSIDE SPIN SILVER	108.1	50
4071691B01	C11 21IN HS SPIN OB BLK LNG BL	108.1	50
4071691L22	C11 21IN HARDSIDE SPIN NAVY	70.28	0
4071691L42	C11 21IN HARDSIDE SPIN SILVER	70.28	0
407169201	C11 22IN HS RLBD OBSIDIAN BLK	DIS	50
407169205	C11 22IN HS RLBD CARBON GREY	103.4	0
407169222	C11 22IN HARDSIDE RLBD NAVY	103.4	0
407169242	C11 22IN HARDSIDE RLBD SILVER	103.4	0
4071692B01	C11 22IN HS RLBD OB BLK LNG BL	103.4	50
4071692L22	C11 22IN HARDSIDE RLBD NAVY	70.28	0
4071692L42	C11 22IN HARDSIDE RLBD SILVER	70.28	0
407169501	C11 25IN  HS SPIN OBSIDIAN BLK	126.9	50
407169505	C11 25IN  HS SPIN CARBON GREY	126.9	0
407169522	C11 25IN  HARDSIDE SPIN NAVY	126.9	0
407169542	C11 25IN  HARDSIDE SPIN SILVER	126.9	50
4071695B01	C11 25IN HS SPIN OB BLK LNG BL	126.9	50
4071695L22	C11 25IN  HARDSIDE SPIN NAVY	78.92	0
